,year,Province,AgeGroup,ag_0-4,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_5-9,ag_60,patient_count
352,2016,Ranong,15-24,0,0,1,0,0,0,0,62
353,2016,Ranong,25-34,0,0,0,1,0,0,0,46
354,2016,Ranong,35-59,0,0,0,0,1,0,0,48
355,2016,Ranong,5-9,0,0,0,0,0,1,0,46
356,2016,Ranong,60,0,0,0,0,0,0,1,12
357,2016,Ratchaburi,0-4,1,0,0,0,0,0,0,52
358,2016,Ratchaburi,10-14,0,1,0,0,0,0,0,142
359,2016,Ratchaburi,15-24,0,0,1,0,0,0,0,176
360,2016,Ratchaburi,25-34,0,0,0,1,0,0,0,102
361,2016,Ratchaburi,35-59,0,0,0,0,1,0,0,130
362,2016,Ratchaburi,5-9,0,0,0,0,0,1,0,142
363,2016,Ratchaburi,60,0,0,0,0,0,0,1,38
364,2016,Rayong,0-4,1,0,0,0,0,0,0,72
365,2016,Rayong,10-14,0,1,0,0,0,0,0,238
366,2016,Rayong,15-24,0,0,1,0,0,0,0,454
367,2016,Rayong,25-34,0,0,0,1,0,0,0,440
368,2016,Rayong,35-59,0,0,0,0,1,0,0,406
369,2016,Rayong,5-9,0,0,0,0,0,1,0,168
370,2016,Rayong,60,0,0,0,0,0,0,1,42
371,2016,Roi Et,0-4,1,0,0,0,0,0,0,142
372,2016,Roi Et,10-14,0,1,0,0,0,0,0,624
373,2016,Roi Et,15-24,0,0,1,0,0,0,0,612
374,2016,Roi Et,25-34,0,0,0,1,0,0,0,200
375,2016,Roi Et,35-59,0,0,0,0,1,0,0,206
376,2016,Roi Et,5-9,0,0,0,0,0,1,0,546
377,2016,Roi Et,60,0,0,0,0,0,0,1,36
378,2016,Sa kaeo,0-4,1,0,0,0,0,0,0,56
379,2016,Sa kaeo,10-14,0,1,0,0,0,0,0,112
380,2016,Sa kaeo,15-24,0,0,1,0,0,0,0,82
381,2016,Sa kaeo,25-34,0,0,0,1,0,0,0,50
382,2016,Sa kaeo,35-59,0,0,0,0,1,0,0,50
383,2016,Sa kaeo,5-9,0,0,0,0,0,1,0,98
384,2016,Sa kaeo,60,0,0,0,0,0,0,1,14
385,2016,Sakon Nakhon,0-4,1,0,0,0,0,0,0,42
386,2016,Sakon Nakhon,10-14,0,1,0,0,0,0,0,140
387,2016,Sakon Nakhon,15-24,0,0,1,0,0,0,0,210
388,2016,Sakon Nakhon,25-34,0,0,0,1,0,0,0,132
389,2016,Sakon Nakhon,35-59,0,0,0,0,1,0,0,102
390,2016,Sakon Nakhon,5-9,0,0,0,0,0,1,0,88
391,2016,Sakon Nakhon,60,0,0,0,0,0,0,1,12
392,2016,Samut Prakan,0-4,1,0,0,0,0,0,0,124
393,2016,Samut Prakan,10-14,0,1,0,0,0,0,0,348
394,2016,Samut Prakan,15-24,0,0,1,0,0,0,0,632
395,2016,Samut Prakan,25-34,0,0,0,1,0,0,0,224
396,2016,Samut Prakan,35-59,0,0,0,0,1,0,0,278
397,2016,Samut Prakan,5-9,0,0,0,0,0,1,0,208
398,2016,Samut Prakan,60,0,0,0,0,0,0,1,84
399,2016,Samut Sakhon,0-4,1,0,0,0,0,0,0,126
400,2016,Samut Sakhon,10-14,0,1,0,0,0,0,0,114
401,2016,Samut Sakhon,15-24,0,0,1,0,0,0,0,156
402,2016,Samut Sakhon,25-34,0,0,0,1,0,0,0,108
403,2016,Samut Sakhon,35-59,0,0,0,0,1,0,0,144
404,2016,Samut Sakhon,5-9,0,0,0,0,0,1,0,156
405,2016,Samut Sakhon,60,0,0,0,0,0,0,1,40
406,2016,Samut Songkhram,0-4,1,0,0,0,0,0,0,2
407,2016,Samut Songkhram,10-14,0,1,0,0,0,0,0,16
408,2016,Samut Songkhram,15-24,0,0,1,0,0,0,0,30
409,2016,Samut Songkhram,25-34,0,0,0,1,0,0,0,36
410,2016,Samut Songkhram,35-59,0,0,0,0,1,0,0,42
411,2016,Samut Songkhram,5-9,0,0,0,0,0,1,0,8
412,2016,Samut Songkhram,60,0,0,0,0,0,0,1,4
413,2016,Saraburi,0-4,1,0,0,0,0,0,0,28
414,2016,Saraburi,10-14,0,1,0,0,0,0,0,66
415,2016,Saraburi,15-24,0,0,1,0,0,0,0,120
416,2016,Saraburi,25-34,0,0,0,1,0,0,0,94
